0.625	0.9	1.3	2.1
1.25	2.0	2.7	4.3
1.875	3.2	4.0	6.6
2.5	4.3	5.4	8.8
3.125	5.4	6.8	11.1
3.75	6.5	8.2	13.3
4.375	7.6	9.5	15.6
5	8.9	11.2	8.1
5.625	10.2	12.7	9.3
6.25	11.5	14.1	10.4
6.875	12.9	15.6	11.5
7.5	14.2	17.1	12.6
8.125	15.5	18.5	13.7
8.75	16.9	20.0	14.8
9.375	18.2	21.4	16.0
10	19.5	22.9	17.1
10.625	20.9	24.4	18.2
11.25	22.2	25.8	19.3
11.875	23.5	27.3	20.4
12.5	24.9	28.8	21.6
13.125	26.2	30.2	22.7
13.75	27.5	31.7	23.8
14.375	28.9	33.1	24.9
15	30.2	34.6	26.0
15.625	31.5	36.1	27.1
16.25	32.9	37.5	28.3
16.875	34.2	39.0	29.4
17.5	35.5	40.5	30.5
18.125	36.9	41.9	31.6
18.75	38.2	43.4	32.7
19.375	39.5	44.8	33.8
20	40.9	46.3	35.0
